primary_label,secondary_labels,type,latitude,longitude,scientific_name,common_name,author,license,rating,url,filename
afrgos1,[],['call'],-7.8334,36.3834,Accipiter tachiro,African Goshawk,Louis A. Hansen,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.0,https://www.xeno-canto.org/115984,afrgos1/XC115984.ogg
afrgos1,[],['call'],-7.8334,36.3834,Accipiter tachiro,African Goshawk,Louis A. Hansen,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,2.5,https://www.xeno-canto.org/115986,afrgos1/XC115986.ogg
afrgos1,[],['call'],-7.8334,36.3834,Accipiter tachiro,African Goshawk,Louis A. Hansen,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,2.5,https://www.xeno-canto.org/115988,afrgos1/XC115988.ogg
afrgos1,[],['call'],-7.8334,36.3834,Accipiter tachiro,African Goshawk,Louis A. Hansen,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.0,https://www.xeno-canto.org/115990,afrgos1/XC115990.ogg
afrgos1,[],['flight call'],-7.8805,36.0267,Accipiter tachiro,African Goshawk,Louis A. Hansen,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.0,https://www.xeno-canto.org/123946,afrgos1/XC123946.ogg
afrgos1,[],['flight call'],-7.7834,36.4995,Accipiter tachiro,African Goshawk,Louis A. Hansen,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.0,https://www.xeno-canto.org/125108,afrgos1/XC125108.ogg
afrgos1,[],"['call', 'juvenile']",-25.4798,30.9913,Accipiter tachiro,African Goshawk,Michael Cronje,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.0,https://www.xeno-canto.org/147873,afrgos1/XC147873.ogg
afrgos1,[],['call'],-34.2363,18.512,Accipiter tachiro,African Goshawk,Alan Collett,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,https://www.xeno-canto.org/177121,afrgos1/XC177121.ogg
afrgos1,[],['flight call'],-33.6119,26.5349,Accipiter tachiro,African Goshawk,Lynette Rudman,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,https://www.xeno-canto.org/265441,afrgos1/XC265441.ogg
afrgos1,['trobou1'],['call'],-15.9259,29.0292,Accipiter tachiro,African Goshawk,Rory Nefdt,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/267463,afrgos1/XC267463.ogg
afrgos1,[],['flight call'],-0.636,34.117,Accipiter tachiro,African Goshawk,James Bradley,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/289502,afrgos1/XC289502.ogg
afrgos1,['somgre1'],['flight call'],-33.4804,26.9052,Accipiter tachiro,African Goshawk,Lynette Rudman,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/317870,afrgos1/XC317870.ogg
afrgos1,"['abhori1', 'amesun2']",['call'],-33.5324,27.0352,Accipiter tachiro,African Goshawk,Vonny Strachan ,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,2.5,https://www.xeno-canto.org/336458,afrgos1/XC336458.ogg
afrgos1,['colsun2'],['call'],-33.5411,27.0406,Accipiter tachiro,African Goshawk,Tim Cockcroft,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,2.5,https://www.xeno-canto.org/350903,afrgos1/XC350903.ogg
afrgos1,[],['call'],-7.8834,36.4001,Accipiter tachiro,African Goshawk,Louis A. Hansen,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,https://www.xeno-canto.org/367462,afrgos1/XC367462.ogg
afrgos1,[],['call'],-1.2639,36.7684,Accipiter tachiro,African Goshawk,Anne Ndung'u,Creative Commons Attribution-ShareAlike 4.0,3.0,https://www.xeno-canto.org/374358,afrgos1/XC374358.ogg
afrgos1,[],['call'],-23.0411,29.9191,Accipiter tachiro,African Goshawk,Tony,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,https://www.xeno-canto.org/400373,afrgos1/XC400373.ogg
afrgos1,[],['call'],-23.0411,29.9191,Accipiter tachiro,African Goshawk,Tony Archer,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,https://www.xeno-canto.org/418707,afrgos1/XC418707.ogg
afrgos1,[],"['display call', 'song']",-6.7832,39.2033,Accipiter tachiro,African Goshawk,Louis A. Hansen,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,1.5,https://www.xeno-canto.org/440295,afrgos1/XC440295.ogg
