primary_label,secondary_labels,type,latitude,longitude,scientific_name,common_name,author,license,rating,url,filename
refwar2,[],['call'],-3.0675,36.7057,Prinia rufifrons,Red-fronted Prinia,isaac kilusu,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,0.0,https://www.xeno-canto.org/525931,refwar2/XC525931.ogg
cibwar1,[],['song'],-6.9187,36.5722,Bradypterus cinnamomeus,Cinnamon Bracken-Warbler,Louis A. Hansen,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/515585,cibwar1/XC515585.ogg
categr,[],['call'],32.2564,-8.9781,Bubulcus ibis,Cattle Egret,Marcin Sołowiej,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.0,https://www.xeno-canto.org/125870,categr/XC125870.ogg
affeag1,[],['flight call'],-16.6153,27.0044,Haliaeetus vocifer,African Fish-Eagle,Gabriel A. Jamie,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,2.0,https://www.xeno-canto.org/200576,affeag1/XC200576.ogg
litegr,[],"['call', 'flight call', 'nocturnal flight call']",53.9299,-2.9833,Egretta garzetta,Little Egret,Chris Batty,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,2.0,http://xeno-canto.org/680901,litegr/XC680901.ogg
mcptit1,[],['call'],0.6155,36.0059,Anthoscopus musculus,Mouse-colored Penduline-Tit,James Bradley,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/444561,mcptit1/XC444561.ogg
gyhneg1,[],['song'],5.9001,-4.8176,Nigrita canicapillus,Gray-headed Nigrita,Étienne Leroy,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/205694,gyhneg1/XC205694.ogg
bltori1,[],['call'],-1.049,29.778,Oriolus percivali,Black-tailed Oriole,Martin St-Michel,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,https://www.xeno-canto.org/236851,bltori1/XC236851.ogg
blhher1,['egygoo'],"['begging call', 'hatchling or nestling', 'sex uncertain']",-29.1893,26.1814,Ardea melanocephala,Black-headed Heron,Dawie de Swardt,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/601045,blhher1/XC601045.ogg
scrcha1,[],['Call'],13.5437,-14.7553,Cossypha niveicapilla,Snowy-crowned Robin-Chat,Allen T. Chartier,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,2.0,https://www.xeno-canto.org/17984,scrcha1/XC17984.ogg
reisee2,[],['song'],-1.1367,37.2564,Crithagra reichenowi,Reichenow's Seedeater,Bram Piot,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/478648,reisee2/XC478648.ogg
sltnig1,[],"['adult', 'song']",-2.9858,37.5975,Caprimulgus clarus,Slender-tailed Nightjar,isaac kilusu,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/593154,sltnig1/XC593154.ogg
yeccan1,[],['song'],-9.2088,34.3008,Serinus flavivertex,Yellow-crowned Canary,Stein Ø. Nilsen,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/495478,yeccan1/XC495478.ogg
abhori1,[],['song'],-19.632,22.8986,Oriolus larvatus,African Black-headed Oriole,Lisa Boocock,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://www.xeno-canto.org/444314,abhori1/XC444314.ogg
tacsun1,[],['song'],3.8071,34.0257,Nectarinia tacazze,Tacazze Sunbird,Josh Engel,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/352738,tacsun1/XC352738.ogg
chespa1,"['slcbou1', 'vimwea1']",['song'],-2.8145,37.4113,Passer eminibey,Chestnut Sparrow,Rory Nefdt,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,1.5,https://www.xeno-canto.org/397507,chespa1/XC397507.ogg
whctur2,[],['call'],1.3088,34.9554,Tauraco leucolophus,White-crested Turaco,James Bradley,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://www.xeno-canto.org/444635,whctur2/XC444635.ogg
ruegls1,[],['call'],9.4726,40.3097,Lamprotornis purpuroptera,Rüppell's Starling,Guido O. Keijl,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/294696,ruegls1/XC294696.ogg
somgre1,[],['song'],-33.4293,24.8664,Andropadus importunus,Sombre Greenbul,Lynette Rudman,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/438679,somgre1/XC438679.ogg
